instance,VariablesVari.,BinariesBina.,IntegersInte.,ContinuousCont.,ConstraintsCons.,Nonz.Nonz.,param_id,runtime,gap,status,objval
academictimetablesmall,28926,28926,0,0,23294,268350,4,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,5,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,6,3600.0,2246000000.0,9,2246.0
academictimetablesmall,28926,28926,0,0,23294,268350,7,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,8,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,9,3600.0,427000000.0,9,427.0
academictimetablesmall,28926,28926,0,0,23294,268350,10,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,11,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,12,3600.0,3000000.0,9,3.0
academictimetablesmall,28926,28926,0,0,23294,268350,13,3600.0,226000000.0,9,226.0
academictimetablesmall,28926,28926,0,0,23294,268350,14,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,15,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,16,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,17,3600.0,1623000000.0,9,1623.0
academictimetablesmall,28926,28926,0,0,23294,268350,18,3600.0,15000000.0,9,15.0
academictimetablesmall,28926,28926,0,0,23294,268350,19,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,20,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,21,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,22,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,23,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,24,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,25,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,26,3600.0,1.0,9,
academictimetablesmall,28926,28926,0,0,23294,268350,27,3600.0,1.0,9,
air05,7195,7195,0,0,426,52121,0,1.626999855041504,0.0028057935845908,2,26448.0
air05,7195,7195,0,0,426,52121,1,3.11299991607666,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,2,2.943000078201294,0.0010616516266019,2,26402.0
air05,7195,7195,0,0,426,52121,3,2.901000022888184,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,4,2.629999876022339,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,5,2.3510000705718994,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,6,2.4779999256134038,3.791612952149845e-05,2,26375.0
air05,7195,7195,0,0,426,52121,7,2.5420000553131104,0.0010616516266019,2,26402.0
air05,7195,7195,0,0,426,52121,8,3.5360000133514404,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,9,5.424999952316284,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,10,2.878000020980835,0.0010237354970807,2,26401.000000000007
air05,7195,7195,0,0,426,52121,11,2.0379998683929443,0.0014408129218169,2,26412.0
air05,7195,7195,0,0,426,52121,12,2.7700002193450928,0.0014028967922954,2,26411.0
air05,7195,7195,0,0,426,52121,13,1.7780001163482666,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,14,1.625999927520752,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,15,4.141999959945679,0.0024645484188973,2,26439.0
air05,7195,7195,0,0,426,52121,16,3.595000028610229,2.758761512923116e-16,2,26374.000000000007
air05,7195,7195,0,0,426,52121,17,4.485000133514404,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,18,4.150000095367432,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,19,1.4609999656677246,0.0025403806779403,2,26441.0
air05,7195,7195,0,0,426,52121,20,1.6430001258850098,0.0010616516266019,2,26402.0
air05,7195,7195,0,0,426,52121,21,1.7899999618530271,0.0010616516266019,2,26402.0
air05,7195,7195,0,0,426,52121,22,2.013000011444092,0.0012133161446879,2,26406.0
air05,7195,7195,0,0,426,52121,23,1.5380001068115234,0.0,2,26374.0
air05,7195,7195,0,0,426,52121,24,3.690999984741211,0.0025403806779403,2,26441.0
air05,7195,7195,0,0,426,52121,25,2.46500015258789,0.0012512322742094,2,26407.0
air05,7195,7195,0,0,426,52121,26,1.954999923706055,0.0,2,26374.0
